sent_id,clean_text,raw_text
NSDC_UA_28_Feb2014-1,"Шановні колеги , Рада національної безпеки має Секретаря Ради національної безпеки , найближчим часом будуть сформовані фактично всі підрозділи РНБО , призначені заступники Секретаря Ради національної безпеки та оборони , і я сподіваюся , що Рада національної безпеки та оборони буде відповідати тим задачам і завданням , тим викликам , які сьогодні стоять перед нашою країною .","Шановні колеги , Рада національної безпеки має Секретаря Ради національної безпеки , найближчим часом будуть сформовані фактично всі підрозділи РНБО , призначені заступники Секретаря Ради національної безпеки та оборони , і я сподіваюся , що Рада національної безпеки та оборони буде відповідати тим задачам і завданням , тим викликам , які сьогодні стоять перед нашою країною ."
NSDC_UA_28_Feb2014-10,"Рішень , які захистять Україну , які зможуть локалізувати осередки сепаратизму , рішення , які зможуть забезпечити справедливість та покарання злочинців .","Рішень , які захистять Україну , які зможуть локалізувати осередки сепаратизму , рішення , які зможуть забезпечити справедливість та покарання злочинців ."
NSDC_UA_28_Feb2014-100,Наших - це в основному військово-морські сили - 15 тисяч осіб .,Наших — це в основному військово-морські сили — 15 тисяч осіб .
NSDC_UA_28_Feb2014-101,А крім морських сил у нас немає ніяких сухопутних ?,А крім морських сил у нас немає ніяких сухопутних ?
NSDC_UA_28_Feb2014-102,15 тисяч - це повний склад військових .,15 тисяч — це повний склад військових .
NSDC_UA_28_Feb2014-103,"Тобто всіх , які нам підпорядковані .","Тобто всіх , які нам підпорядковані ."
NSDC_UA_28_Feb2014-104,Але це - номінальна чисельність .,Але це — номінальна чисельність .
NSDC_UA_28_Feb2014-105,Боєздатна складова ?,Боєздатна складова ?
NSDC_UA_28_Feb2014-106,Важко відповісти .,Важко відповісти .
NSDC_UA_28_Feb2014-107,Більшість серед військових - місцеві контрактники .,Більшість серед військових — місцеві контрактники .
NSDC_UA_28_Feb2014-108,Для них служба - це заробіток .,Для них служба — це заробіток .
NSDC_UA_28_Feb2014-109,Настрій населення в Криму ви знаєте .,Настрій населення в Криму ви знаєте .
NSDC_UA_28_Feb2014-11,"За нашою інформацією , яка надходить з різних джерел , військове керівництво Російської Федерації реально розглядає питання анексії Автономної Республіки Крим .","За нашою інформацією , яка надходить з різних джерел , військове керівництво Російської Федерації реально розглядає питання анексії Автономної Республіки Крим ."
