sent_id,raw_text,clean_text
ParlaMint-UA_2022-01-25-m0.u6.p2.lang1.s3,"І навіть якщо не буде жодної ескалації і жодної агресії , Росія фактично виконає своє завдання , і люди почнуть забирати депозити з банків , почнуть переставати купувати житло , переставати витрачати гроші , і таким чином зупиниться економічний розвиток в країні .","І навіть якщо не буде жодної ескалації і жодної агресії , Росія фактично виконає своє завдання , і люди почнуть забирати депозити з банків , почнуть переставати купувати житло , переставати витрачати гроші , і таким чином зупиниться економічний розвиток в країні ."
ParlaMint-UA_2003-10-14-m0.u69.p4.lang1.s3,Немає заперечень ?,Немає заперечень ?
ParlaMint-UA_2022-01-25-m0.u164.p4.lang1.s3,І не робімо проблем на рівному місці .,І не робімо проблем на рівному місці .
NSDC_UA_28_Feb2014-458,3 .,3 .
ParlaMint-UA_2003-10-14-m0.u118.p1.lang1.s1,"Скажіть , будь ласка , у вас є письмові запитання ?","Скажіть , будь ласка , у вас є письмові запитання ?"
ParlaMint-UA_2003-10-14-m0.u135.p1.lang1.s4,"Як ви знаєте , вода , яка йде в водопроводі вона не придатна для пиття , вона придатна тільки для технічних потреб .","Як ви знаєте , вода , яка йде в водопроводі вона не придатна для пиття , вона придатна тільки для технічних потреб ."
ParlaMint-UA_2004-11-27-m0.u166.p1.lang1.s1,"Шановні народні депутати , я прошу тут зараз спокійно , без емоцій послухати .","Шановні народні депутати , я прошу тут зараз спокійно , без емоцій послухати ."
ParlaMint-UA_2022-01-25-m0.u8.p4.lang1.s3,"Бо ми всі бачимо підвищення цін і ми бачимо , як потерпає кожен українець і малий , і середній бізнес .","Бо ми всі бачимо підвищення цін і ми бачимо , як потерпає кожен українець і малий , і середній бізнес ."
ParlaMint-UA_2004-11-27-m0.u23.p32.lang1.s1,Шановні народні депутати !,Шановні народні депутати !
ParlaMint-UA_2022-01-25-m0.u147.p5.lang1.s1,"Я щиро вірю , що підтримка української книги об'єднає нашу сесійну залу і закликаю всіх проголосувати за цей законопроект .","Я щиро вірю , що підтримка української книги об'єднає нашу сесійну залу і закликаю всіх проголосувати за цей законопроект ."
ParlaMint-UA_2022-01-25-m0.u136.p9.lang1.s2,"Шановні колеги , я прошу на майбутнє , коли ви подаєте заяви , пишіть , які фракції .","Шановні колеги , я прошу на майбутнє , коли ви подаєте заяви , пишіть , які фракції ."
ParlaMint-UA_2004-11-27-m0.u92.p2.lang1.s4,"Володимире Михайловичу , я пропоную перед голосуванням зібрати ще раз Погоджувальну раду , бо було раніше домовлено , що ми визнаємо недійсними вибори у другому турі і проводимо повторне голосування по другому туру .","Володимире Михайловичу , я пропоную перед голосуванням зібрати ще раз Погоджувальну раду , бо було раніше домовлено , що ми визнаємо недійсними вибори у другому турі і проводимо повторне голосування по другому туру ."
ParlaMint-UA_2003-10-14-m0.u97.p6.lang1.s3,"Чи планується видобуток там для того , щоби задовольнити потреби України ?","Чи планується видобуток там для того , щоби задовольнити потреби України ?"
ParlaMint-UA_2022-01-25-m0.u264.p1.lang1.s1,"Інна Совсун , партія "" Голос "" .","Інна Совсун , партія "" Голос "" ."
ParlaMint-UA_2003-10-14-m0.u113.p1.lang1.s2,"Рішення будемо приймати в день голосування з урахуванням обговорення , яке щойно відбулося .","Рішення будемо приймати в день голосування з урахуванням обговорення , яке щойно відбулося ."
ParlaMint-UA_2004-11-27-m0.u162.p8.lang1.s1,Прошу уваги .,Прошу уваги .
ParlaMint-UA_2022-01-25-m0.u158.p26.lang1.s2,Є необхідність обговорювати .,Є необхідність обговорювати .
ParlaMint-UA_2022-01-25-m0.u131.p1.lang1.s1,"Позиція комітету : відхилено , насправді з тих самих же причин , оскільки потрібні комплексні зміни і вносити зміни потрібно окремим Законом "" Про судоустрій та статус суддів "" .","Позиція комітету : відхилено , насправді з тих самих же причин , оскільки потрібні комплексні зміни і вносити зміни потрібно окремим Законом "" Про судоустрій та статус суддів "" ."
ParlaMint-UA_2004-11-27-m0.u42.p2.lang1.s4,"Можна сфальсифікувати результати виборів , можна поправити ??? закон , можна навіть відмінити цей закон .","Можна сфальсифікувати результати виборів , можна поправити ??? закон , можна навіть відмінити цей закон ."
ParlaMint-UA_2014-03-04-m0.u83.p2.lang1.s5,І друге .,І друге .
ParlaMint-UA_2022-01-25-m0.u66.p3.lang1.s2,А чому на Погоджувальній раді саме команда Зеленського завалила законопроект 6542 про виділення додаткових мільярдів гривень українській армії ?,А чому на Погоджувальній раді саме команда Зеленського завалила законопроект 6542 про виділення додаткових мільярдів гривень українській армії ?
ParlaMint-UA_2004-11-27-m0.u202.p29.lang2.s3,"3 хвилин , будь ласка .","3 хвилин , будь ласка ."
ParlaMint-UA_2022-01-25-m0.u33.p4.lang1.s2,"Нічого страшного , те , що ви розглядаєте тут постанови , не сталося і не станеться .","Нічого страшного , те , що ви розглядаєте тут постанови , не сталося і не станеться ."
ParlaMint-UA_2004-11-27-m0.u147.p2.lang1.s4,"Михайло Косів , фракція "" Наша Україна "" .","Михайло Косів , фракція "" Наша Україна "" ."
ParlaMint-UA_2022-01-25-m0.u61.p1.lang1.s2,"І хочу пояснити , звідки взялася ця постанова .","І хочу пояснити , звідки взялася ця постанова ."
NSDC_UA_28_Feb2014-304,"Шановні колеги , мова іде про оголошення війни Росії .","Шановні колеги , мова іде про оголошення війни Росії ."
ParlaMint-UA_2004-11-27-m0.u141.p1.lang1.s1,"Петро Симоненко , будь ласка .","Петро Симоненко , будь ласка ."
